ID	Name	LossMedian	DowntimeMedian	RedTagProbability	LossP10	LossP90	DowntimeP16	DowntimeP84	HurtMedian	HurtP16	HurtP84	DeathMedian	DeathP16	DeathP84
140	bld-140	106520	42.898	0	76228.5	146151	24.6089	81.796	6.25e-05	3.125e-05	0.00015625	0	0	0	
141	bld-141	12361.8	63.7393	0	4735.87	22356.2	23.5545	135.664	3.125e-05	0	0.0003125	0	0	3.125e-05	
142	bld-142	86953.8	46.5999	0	59501.3	120852	25.2759	92.1129	6.25e-05	3.125e-05	0.00015625	0	0	0	
143	bld-143	32423.7	50.5832	0	18097.8	51046.2	25.4797	109.425	6.25e-05	3.125e-05	0.00015625	0	0	0	
144	bld-144	55700.8	45.6829	0	34365.3	80515.3	23.8974	92.0738	6.25e-05	3.125e-05	0.00015625	0	0	0	
145	bld-145	15196.1	70.5058	0	6870.9	26016.2	26.253	160.571	3.125e-05	0	0.0003125	0	0	3.125e-05	
146	bld-146	36456.6	57.1612	0	21288.1	55516.1	29.6552	119.334	6.25e-05	3.125e-05	0.00015625	0	0	0	
147	bld-147	32113.3	51.7389	0	16540	49326.5	26.9502	113.278	6.25e-05	0	0.00015625	0	0	0	
148	bld-148	45321.7	45.4593	0	27148.7	66556.7	24.0024	90.2748	6.25e-05	3.125e-05	0.00015625	0	0	0	
149	bld-149	4497.71	13.9856	0	1246.6	10377.8	0	25.0233	0	0	0.0003125	0	0	3.125e-05	
150	bld-150	10533	56.0687	0	4190.64	19500.7	22.711	121.789	3.125e-05	0	0.0003125	0	0	3.125e-05	
151	bld-151	11019.5	58.6781	0	4259.09	20223.7	20.8347	128.403	3.125e-05	0	0.0003125	0	0	3.125e-05	
152	bld-152	2021	0	0	347.908	4589.93	0	0	0	0	0.0003125	0	0	3.125e-05	
153	bld-153	456289	11.2647	0	344579	637713	5.2124	29.2475	1.66667e-05	1.66667e-05	9.16667e-05	0	0	8.33333e-06	
154	bld-154	0	0	0	0	1609.47	0	0	0	0	0	0	0	0	
155	bld-155	0	0	0	0	1504.49	0	0	0	0	0	0	0	0	
156	bld-156	0	0	0.001	0	1419.16	0	0	0	0	0	0	0	0	
157	bld-157	0	0	0	0	147.124	0	0	0	0	0	0	0	0	
158	bld-158	0	0	0	0	752.145	0	0	0	0	0	0	0	0	
159	bld-159	0	0	0	0	645.722	0	0	0	0	0	0	0	0	
160	bld-160	0	0	0	0	934.098	0	0	0	0	0	0	0	0	
161	bld-161	0	0	0	0	1106.57	0	0	0	0	0	0	0	0	
162	bld-162	0	0	0	0	1104.8	0	0	0	0	0	0	0	0	
163	bld-163	0	0	0	0	847.176	0	0	0	0	0	0	0	0	
164	bld-164	0	0	0	0	287.625	0	0	0	0	0	0	0	0	
165	bld-165	0	0	0	0	1126.01	0	0	0	0	0	0	0	0	
166	bld-166	0	0	0	0	1116.08	0	0	0	0	0	0	0	0	
167	bld-167	0	0	0	0	1148.63	0	0	0	0	0	0	0	0	
168	bld-168	0	0	0	0	1526.35	0	0	0	0	0	0	0	0	
169	bld-169	0	0	0	0	1437.64	0	0	0	0	0	0	0	0	
170	bld-170	0	0	0.001	0	772.262	0	0	0	0	0	0	0	0	
171	bld-171	0	0	0	0	369.934	0	0	0	0	0	0	0	0	
172	bld-172	0	0	0	0	169.887	0	0	0	0	0	0	0	0	
173	bld-173	0	0	0	0	373.692	0	0	0	0	0	0	0	0	
174	bld-174	0	0	0	0	1299.57	0	0	0	0	0	0	0	0	
175	bld-175	0	0	0	0	1157.44	0	0	0	0	0	0	0	0	
176	bld-176	0	0	0	0	208.828	0	0	0	0	0	0	0	0	
177	bld-177	0	0	0	0	214.587	0	0	0	0	0	0	0	0	
178	bld-178	0	0	0	0	298.897	0	0	0	0	0	0	0	0	
179	bld-179	0	0	0.001	0	2130.6	0	0	0	0	0	0	0	0	
180	bld-180	0	0	0	0	1191.67	0	0	0	0	0	0	0	0	
181	bld-181	0	0	0	0	1355.55	0	0	0	0	0	0	0	0	
182	bld-182	0	0	0	0	292.422	0	0	0	0	0	0	0	0	
183	bld-183	0	0	0	0	1623.29	0	0	0	0	0	0	0	0	
184	bld-184	0	0	0.001	0	1238.27	0	0	0	0	0	0	0	0	
185	bld-185	0	0	0.001	0	344.708	0	0	0	0	0	0	0	0	
186	bld-186	0	0	0.001	0	1051.73	0	0	0	0	0	0	0	0	
187	bld-187	0	0	0	0	999.19	0	0	0	0	0	0	0	0	
188	bld-188	0	0	0	0	235.205	0	0	0	0	0	0	0	0	
189	bld-189	0	0	0	0	319.771	0	0	0	0	0	0	0	0	
190	bld-190	0	0	0	0	330.116	0	0	0	0	0	0	0	0	
191	bld-191	0	0	0.001	0	1110.18	0	0	0	0	0	0	0	0	
192	bld-192	0	0	0	0	924.922	0	0	0	0	0	0	0	0	
193	bld-193	0	0	0	0	137.628	0	0	0	0	0	0	0	0	
194	bld-194	0	0	0	0	248.721	0	0	0	0	0	0	0	0	
195	bld-195	0	0	0	0	195.518	0	0	0	0	0	0	0	0	
196	bld-196	0	0	0	0	899.945	0	0	0	0	0	0	0	0	
197	bld-197	0	0	0	0	948.272	0	0	0	0	0	0	0	0	
198	bld-198	0	0	0	0	3086.94	0	0	0	0	0	0	0	0	
199	bld-199	0	0	0	0	962.983	0	0	0	0	0	0	0	0	
200	bld-200	0	0	0	0	999.176	0	0	0	0	0	0	0	0	
201	bld-201	0	0	0	0	104.241	0	0	0	0	0	0	0	0	
202	bld-202	0	0	0.001	0	1137.51	0	0	0	0	0	0	0	0	
203	bld-203	0	0	0	0	221.255	0	0	0	0	0	0	0	0	
204	bld-204	0	0	0.001	0	1071.75	0	0	0	0	0	0	0	0	
205	bld-205	0	0	0	0	102.258	0	0	0	0	0	0	0	0	
206	bld-206	0	0	0	0	140.199	0	0	0	0	0	0	0	0	
207	bld-207	0	0	0	0	146.749	0	0	0	0	0	0	0	0	
208	bld-208	0	0	0	0	1178.91	0	0	0	0	0	0	0	0	
209	bld-209	0	0	0	0	135.268	0	0	0	0	0	0	0	0	
210	bld-210	0	0	0	0	1206.67	0	0	0	0	0	0	0	0	
211	bld-211	0	0	0	0	209.343	0	0	0	0	0	0	0	0	
212	bld-212	0	0	0	0	125.355	0	0	0	0	0	0	0	0	
213	bld-213	0	0	0	0	100.7	0	0	0	0	0	0	0	0	
214	bld-214	0	0	0	0	144.455	0	0	0	0	0	0	0	0	
215	bld-215	0	0	0	0	274.083	0	0	0	0	0	0	0	0	
216	bld-216	0	0	0	0	120.888	0	0	0	0	0	0	0	0	
217	bld-217	0	0	0	0	157.086	0	0	0	0	0	0	0	0	
218	bld-218	0	0	0.001	0	118.144	0	0	0	0	0	0	0	0	
219	bld-219	0	0	0	0	100.918	0	0	0	0	0	0	0	0	
220	bld-220	0	0	0	0	112.556	0	0	0	0	0	0	0	0	
221	bld-221	0	0	0	0	209.728	0	0	0	0	0	0	0	0	
222	bld-222	0	0	0	0	118.555	0	0	0	0	0	0	0	0	
223	bld-223	0	0	0	0	105.064	0	0	0	0	0	0	0	0	
224	bld-224	0	0	0	0	97.8342	0	0	0	0	0	0	0	0	
225	bld-225	0	0	0	0	221.017	0	0	0	0	0	0	0	0	
226	bld-226	0	0	0.001	0	72.3267	0	0	0	0	0	0	0	0	
227	bld-227	0	0	0	0	1352.86	0	0	0	0	0	0	0	0	
228	bld-228	0	0	0	0	579.654	0	0	0	0	0	0	0	0	
229	bld-229	0	0	0	0	2113.44	0	0	0	0	0	0	0	0	
230	bld-230	0	0	0	0	1159.92	0	0	0	0	0	0	0	0	
231	bld-231	0	0	0	0	467.811	0	0	0	0	0	0	0	0	
232	bld-232	0	0	0	0	174.347	0	0	0	0	0	0	0	0	
233	bld-233	0	0	0	0	201.621	0	0	0	0	0	0	0	0	
234	bld-234	0	0	0	0	375.913	0	0	0	0	0	0	0	0	
235	bld-235	0	0	0	0	79.2674	0	0	0	0	0	0	0	0	
236	bld-236	0	0	0.001	0	176.852	0	0	0	0	0	0	0	0	
237	bld-237	0	0	0	0	92.5843	0	0	0	0	0	0	0	0	
238	bld-238	0	0	0	0	506.397	0	0	0	0	0	0	0	0	
239	bld-239	0	0	0	0	1050.99	0	0	0	0	0	0	0	0	
240	bld-240	0	0	0	0	1078.81	0	0	0	0	0	0	0	0	
241	bld-241	0	0	0	0	144.267	0	0	0	0	0	0	0	0	
242	bld-242	0	0	0	0	513.432	0	0	0	0	0	0	0	0	
243	bld-243	0	0	0.002	0	1003.26	0	0	0	0	0	0	0	0	
244	bld-244	0	0	0	0	1027.66	0	0	0	0	0	0	0	0	
245	bld-245	0	0	0	0	1417.79	0	0	0	0	0	0	0	0	
246	bld-246	0	0	0	0	1336.24	0	0	0	0	0	0	0	0	
247	bld-247	0	0	0	0	294.442	0	0	0	0	0	0	0	0	
248	bld-248	0	0	0	0	1884.7	0	0	0	0	0	0	0	0	
249	bld-249	0	0	0.001	0	1531.14	0	0	0	0	0	0	0	0	
250	bld-250	169.544	0	0	0	4505.85	0	0	0	0	0	0	0	0	
251	bld-251	0	0	0	0	1169.21	0	0	0	0	0	0	0	0	
252	bld-252	30043.9	27.7674	0.012	18460.9	46991.1	18.083	42.3272	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
253	bld-253	48169.7	28.1232	0.003	29954.3	74071.5	18.3236	41.543	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
254	bld-254	13861.9	33.3826	0.03	8283.26	22758.9	21.9705	52.5413	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
