ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	4.51208	0	0	6.33122	0	0
	B3011.011z	7.58762	0	0	7.58762	0	0
	BI.C.01.04	10.5298	0	0	10.5298	0	0
	BI.D.02.03	0.158085	0	0	0.22159	1.40424	0.0023404
	BI.L.01.02	45.9425	0	0	46.8502	1.43	0.000500001
	BI.P.01.03	2.61723	0	0	2.68355	0	0
	C.F.KL	18.8858	0	0	23.2776	5	0.025
	C.F.KZ	18.1567	0	0	21.8421	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	31.4229	0	0	37.3655	21.5508	0
	E2022.022z	57.1474	0	0	66.0508	149.053	0
	MEP.L.01.01	0.0537028	0	0	0.117372	371.977	0.44299
	MEP.M.06.06	0.31	0	0	0.313085	0	0
	MEP.M.06.08	0.156671	0	0	0.163235	0	0
	MEP.M.07.03	4.8898	0	0	5.00306	0	0
	MEP.M.08.01	0.619012	0	0	0.630265	0	0
	MEP.P.01.02	0.0626716	0	0	0.0635894	0.306253	3.51178e-05
	MEP.P.02.06	0.366525	0	0	0.386166	0	0
	MEP.P.03.02	0.247141	0	0	0.262224	0	0
	MEP.P.06.01	0.309783	0	0	0.317159	3.58516	0.00125793
11	bld-11
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	0.832814	0	0	1.15459	0	0
	B3011.011z	1.32482	0	0	1.32482	0	0
	BI.C.01.04	1.83853	0	0	1.83853	0	0
	BI.D.02.03	0.0257278	0	0	0.0367026	1.88515	0.00314192
	BI.L.01.02	8.1573	0	0	8.3305	0	0
	BI.P.01.03	0.461526	0	0	0.471002	0	0
	C.F.KL	3.28161	0	0	4.04874	0	0
	C.F.KZ	3.34153	0	0	3.83192	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	5.3296	0	0	6.51594	3.0949	0
	E2022.022z	9.26566	0	0	11.7449	41.9161	0
	MEP.L.01.01	0.00976476	0	0	0.0219595	85.4271	0.101736
	MEP.M.06.06	0.05379	0	0	0.0547987	0	0
	MEP.M.06.08	0.027168	0	0	0.0283584	0	0
	MEP.M.07.03	0.876406	0	0	0.889087	0	0
	MEP.M.08.01	0.107264	0	0	0.109478	0	0
	MEP.P.01.02	0.0108421	0	0	0.0111184	0	0
	MEP.P.02.06	0.0639669	0	0	0.0674913	0	0
	MEP.P.03.02	0.0443651	0	0	0.0458966	0	0
	MEP.P.06.01	0.0539689	0	0	0.0551603	0.6569	0.00019217
12	bld-12
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	95.7379	211597	182.725	97.4454	220087	192.815
	B1071.001	0	0	0	0	0	0
	B2011.011az	21.9807	0	0	26.1637	0	0
	B3011.011z	30.9602	0	0	30.9602	4.05842	0.0127263
	BI.C.01.04	42.9652	0	0	42.9652	0	0
	BI.D.02.03	0.748833	3393.99	5.4813	0.863669	4818.88	7.79154
	BI.L.01.02	193.529	0	0	194.305	7.15	0.0025
	BI.P.01.03	10.8587	33283.2	2.79645	10.9179	34583.6	2.90636
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	141.11	0	0	152.536	31.7821	0
	E2022.022z	247.354	0	0	263.7	261.275	0
	MEP.L.01.01	0.314943	0	0	0.443314	592.174	0.705226
	MEP.M.06.06	1.28716	0	0	1.29123	0	0
	MEP.M.06.08	0.656318	0	0	0.662362	0	0
	MEP.M.07.03	20.444	0	0	20.5357	11	0.00353
	MEP.M.08.01	2.53661	0	0	2.55677	0	0
	MEP.P.01.02	0.255254	0	0	0.256664	0.280883	3.22086e-05
	MEP.P.02.06	1.56999	0	0	1.58904	0	0
	MEP.P.03.02	1.0341	0	0	1.05729	0	0
	MEP.P.06.01	1.28034	0	0	1.28613	0	0
13	bld-13
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	227.422	498566	434.968	231.511	514662	452.38
	B1071.001	0	0	0	0	0	0
	B2011.011az	52.9148	0	0	60.6166	6.60917	0.0437012
	B3011.011z	73.649	0	0	73.649	1.83492	0.0124955
	BI.C.01.04	102.207	0	0	102.207	49.5	0.069
	BI.D.02.03	1.8646	8846.74	14.3128	2.12507	11503.2	18.6061
	BI.L.01.02	457.57	0	0	459.33	14.3	0.005
	BI.P.01.03	25.9435	75326.8	6.36372	26.1612	76403.1	6.45833
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	342.535	0	0	369.329	76.2922	0
	E2022.022z	587.94	0	0	626.941	619.535	0
	MEP.L.01.01	0.746565	0	0	1.06439	1481.7	1.76457
	MEP.M.06.06	3.05066	0	0	3.0792	0	0
	MEP.M.06.08	1.5438	0	0	1.5657	0	0
	MEP.M.07.03	48.5657	0	0	48.768	22	0.00706
	MEP.M.08.01	6.10361	0	0	6.16772	13.9145	0.00742107
	MEP.P.01.02	0.609369	0	0	0.612	0	0
	MEP.P.02.06	3.72695	0	0	3.78484	0	0
	MEP.P.03.02	2.50632	0	0	2.53789	0	0
	MEP.P.06.01	3.02816	0	0	3.05631	0	0
14	bld-14
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	49.5452	109071	96.4374	50.282	117604	103.452
	B1071.001	0	0	0	0	0	0
	B2011.011az	11.7502	0	0	13.4346	0	0
	B3011.011z	16.039	0	0	16.039	2.92709	0.00803219
	BI.C.01.04	22.2582	0	0	22.2582	4.15211	0.0057878
	BI.D.02.03	0.40239	1721.37	2.78283	0.451655	2439.68	3.94392
	BI.L.01.02	100.311	0	0	100.607	4.29	0.0015
	BI.P.01.03	5.67394	16274.6	1.36334	5.704	17996	1.50938
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	74.8505	0	0	80.5435	17.936	0
	E2022.022z	129.348	0	0	137.404	131.152	0
	MEP.L.01.01	0.160951	0	0	0.226935	313.875	0.373797
	MEP.M.06.06	0.662805	0	0	0.667077	0	0
	MEP.M.06.08	0.339014	0	0	0.343505	0	0
	MEP.M.07.03	10.5754	0	0	10.6532	0	0
	MEP.M.08.01	1.31915	0	0	1.33452	0	0
	MEP.P.01.02	0.133132	0	0	0.133398	0	0
	MEP.P.02.06	0.809216	0	0	0.822393	0	0
	MEP.P.03.02	0.53872	0	0	0.546736	0	0
	MEP.P.06.01	0.662463	0	0	0.668361	0	0
15	bld-15
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	135.693	295320	259.103	138.263	310751	272.319
	B1071.001	0	0	0	0	0	0
	B2011.011az	33.599	0	0	37.6079	2.7847	0.0140635
	B3011.011z	43.8151	0	0	43.8151	9.83115	0.020719
	BI.C.01.04	60.8046	0	0	60.8046	19.8	0.0276
	BI.D.02.03	1.11132	5103.64	8.24237	1.26547	6860.1	11.0901
	BI.L.01.02	270.964	0	0	272.696	12.87	0.0045
	BI.P.01.03	15.3098	46653.9	3.92711	15.5338	48135.6	4.05231
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	203.088	0	0	215.75	44.5934	0
	E2022.022z	349.873	0	0	371.622	353.838	0
	MEP.L.01.01	0.443705	0	0	0.609465	752.734	0.896438
	MEP.M.06.06	1.80518	0	0	1.81746	0	0
	MEP.M.06.08	0.916894	0	0	0.932392	0	0
	MEP.M.07.03	29.1403	0	0	29.377	11	0.00353
	MEP.M.08.01	3.60206	0	0	3.64218	0	0
	MEP.P.01.02	0.363292	0	0	0.365179	0	0
	MEP.P.02.06	2.19725	0	0	2.23117	0	0
	MEP.P.03.02	1.48013	0	0	1.49954	0	0
	MEP.P.06.01	1.80764	0	0	1.81933	0	0
16	bld-16
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	160.59	0	0	170.907	12.1892	0.0674987
	B3011.011z	196.369	0	0	285.211	45.2996	0.131863
	BI.C.01.04	172.588	0	0	172.588	29.7	0.0414
	BI.D.02.03	4.14614	8534.44	14.24	4.64275	10314.7	17.1381
	BI.L.01.02	733.548	0	0	750.385	25.7273	0.009
	BI.P.01.03	48.4289	26626.8	2.23418	48.8424	27246.6	2.28831
	C.F.KL	323.951	776	15.2	352.012	1027.05	18.4684
	C.F.KZ	324.819	504	7.8	348.814	661.649	10.2046
	C.S.Q	0	0	0	0	0	0
	E2022.001u	341.712	0	0	342.746	293.136	0
	E2022.020z	544.068	260.552	0	582.8	323.317	0
	E2022.022z	947.913	2019.39	0	1012.87	2565.37	0
	MEP.L.01.01	1.54763	0	0	1.70375	5218.28	6.2145
	MEP.M.06.06	3.64234	0	0	3.67393	0	0
	MEP.M.06.08	0.973995	0	0	0.980332	0	0
	MEP.M.07.03	47.2151	0	0	49.3547	11	0.00353001
	MEP.M.08.01	24.3127	0	0	24.3371	0	0
	MEP.P.01.02	0.729171	0	0	0.733328	0	0
	MEP.P.02.06	4.71003	0	0	5.06977	0	0
	MEP.P.03.02	3.04813	0	0	3.25833	0	0
	MEP.P.06.01	4.37062	0	0	4.40632	27.0252	0.00836009
17	bld-17
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	30.8149	48033.8	42.3499	32.4679	50360.2	44.2378
	B1071.001	0	0	0	0	0	0
	B2011.011az	0.0398811	0	0	0.0403973	0	0
	B3011.011z	39.49	0	0	39.49	7.95781	0.0195943
	BI.C.01.04	0.789801	0	0	0.789801	0	0
	BI.D.02.03	0.0170568	0	0	0.0173612	26.846	0.0447068
	BI.L.01.02	58.4618	0	0	60.7662	2.86	0.000999999
	BI.P.01.03	0.117905	0	0	0.120552	15.5218	0.00129864
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	93.0131	0	0	110.925	59.2165	0
	E2022.022z	14.729	0	0	17.7788	44.4422	0
	MEP.L.01.01	0	0	0	0	0	0
	MEP.M.06.06	0	0	0	0	0	0
	MEP.M.06.08	0.160599	0	0	0.191527	0	0
	MEP.M.07.03	1.18598	0	0	1.29547	0	0
	MEP.M.08.01	0	0	0	0	0	0
	MEP.P.01.02	0.0590016	0	0	0.0603375	0	0
	MEP.P.02.06	0.0375433	0	0	0.0386407	0	0
	MEP.P.03.02	0.0783867	0	0	0.079589	0	0
	MEP.P.06.01	0.316631	0	0	0.32053	1.87248	0.000860735
18	bld-18
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	133.272	204024	178.621	136.286	213299	188.158
	B1071.001	0	0	0	0	0	0
	B2011.011az	0.165125	0	0	0.167454	0	0
	B3011.011z	163.514	0	0	163.514	21.3961	0.0898287
	BI.C.01.04	3.27027	0	0	3.27027	0	0
	BI.D.02.03	0.0714054	128.524	0.214206	0.0723668	107.458	0.178143
	BI.L.01.02	259.029	0	0	262.93	7.15	0.0025
	BI.P.01.03	0.499669	0	0	0.502724	251.156	0.0210132
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	414.642	219.734	0	463.962	285.393	0
	E2022.022z	64.7876	0	0	71.9944	197.79	0
	MEP.L.01.01	0	0	0	0	0	0
	MEP.M.06.06	0	0	0	0	0	0
	MEP.M.06.08	0.715251	0	0	0.791597	0	0
	MEP.M.07.03	5.04041	0	0	5.28416	11	0.00353
	MEP.M.08.01	0	0	0	0	0	0
	MEP.P.01.02	0.245394	0	0	0.248864	0	0
	MEP.P.02.06	0.158	0	0	0.159724	0	0
	MEP.P.03.02	0.32893	0	0	0.332437	0.0891884	5.44949e-05
	MEP.P.06.01	1.32297	0	0	1.33579	1.3065	0.00057362
19	bld-19
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	301.726	628175	556.192	305.773	659202	579.492
	B1071.001	0	0	0	0	0	0
	B2011.011az	0.373828	0	0	0.375738	0	0
	B3011.011z	369.081	0	0	369.081	38.4616	0.121186
	BI.C.01.04	7.38161	0	0	7.38161	0	0
	BI.D.02.03	0.162093	872.528	1.4099	0.162957	776.013	1.25625
